DexNumber,Name,Category,Ability1,Ability2,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,NoGender,CatchRate,EggCycles,LevelingRate,BaseFriendship,IsLegendary,IsMythical,IsUltraBeast,HasMega,EvoStage,TotalEvoStages,PreevoName,Type_Bug,Type_Dark,Type_Dragon,Type_Electric,Type_Fairy,Type_Fighting,Type_Fire,Type_Flying,Type_Ghost,Type_Grass,Type_Ground,Type_Ice,Type_Normal,Type_Poison,Type_Psychic,Type_Rock,Type_Steel,Type_Water,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy,Egg_Amorphous,Egg_Bug,Egg_Ditto,Egg_Dragon,Egg_Fairy,Egg_Field,Egg_Flying,Egg_Grass,Egg_Human-Like,Egg_Mineral,Egg_Monster,Egg_No Eggs Discovered,Egg_Water 1,Egg_Water 2,Egg_Water 3
10,Caterpie,Worm Pokémon,Shield Dust,None,Run Away,1,45,30,35,20,20,45,195,2.9,0.3,0.5,0,255,15,1000000,70,0,0,0,0,1,3,No Preevolution,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
11,Metapod,Cocoon Pokémon,Shed Skin,None,None,1,50,20,55,25,25,30,205,9.9,0.7,0.5,0,120,15,1000000,70,0,0,0,0,2,3,Caterpie,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
12,Butterfree,Butterfly Pokémon,Compound Eyes,None,Tinted Lens,1,60,45,50,90,80,70,395,32.0,1.1,0.5,0,45,15,1000000,70,0,0,0,0,3,3,Metapod,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
13,Weedle,Hairy Bug Pokémon,Shield Dust,None,Run Away,1,40,35,30,20,20,50,195,3.2,0.3,0.5,0,255,15,1000000,70,0,0,0,0,1,3,No Preevolution,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
14,Kakuna,Cocoon Pokémon,Shed Skin,None,None,1,45,25,50,25,25,35,205,10.0,0.6,0.5,0,120,15,1000000,70,0,0,0,0,2,3,Weedle,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
15,Beedrill,Poison Bee Pokémon,Swarm,None,Sniper,1,65,90,40,45,80,75,395,29.5,1.0,0.5,0,45,15,1000000,70,0,0,0,1,3,3,Kakuna,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
16,Pidgey,Tiny Bird Pokémon,Keen Eye,Tangled Feet,Big Pecks,1,40,45,40,35,35,56,251,1.8,0.3,0.5,0,255,15,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
17,Pidgeotto,Bird Pokémon,Keen Eye,Tangled Feet,Big Pecks,1,63,60,55,50,50,71,349,30.0,1.1,0.5,0,120,15,1059860,70,0,0,0,0,2,3,Pidgey,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
18,Pidgeot,Bird Pokémon,Keen Eye,Tangled Feet,Big Pecks,1,83,80,75,70,70,101,479,39.5,1.5,0.5,0,45,15,1059860,70,0,0,0,1,3,3,Pidgeotto,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
19,Rattata,Mouse Pokémon,Run Away,Guts,Hustle,1,30,56,35,25,35,72,253,3.5,0.3,0.5,0,255,15,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
19,Alolan Rattata,Mouse Pokémon,Gluttony,Hustle,Thick Fat,7,30,56,35,25,35,72,253,3.5,0.3,0.5,0,255,15,1000000,70,0,0,0,0,1,2,No Preevolution,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
20,Raticate,Mouse Pokémon,Run Away,Guts,Hustle,1,55,81,60,50,70,97,413,18.5,0.7,0.5,0,127,15,1000000,70,0,0,0,0,2,2,Rattata,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
20,Alolan Raticate,Mouse Pokémon,Gluttony,Hustle,Thick Fat,7,75,71,70,40,80,77,413,18.5,0.7,0.5,0,127,15,1000000,70,0,0,0,0,2,2,Alolan Rattata,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
21,Spearow,Tiny Bird Pokémon,Keen Eye,None,Sniper,1,40,60,30,31,31,70,262,2.0,0.3,0.5,0,255,15,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
22,Fearow,Beak Pokémon,Keen Eye,None,Sniper,1,65,90,65,61,61,100,442,38.0,1.2,0.5,0,90,15,1000000,70,0,0,0,0,2,2,Spearow,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
23,Ekans,Snake Pokémon,Intimidate,Shed Skin,Unnerve,1,35,60,44,40,54,55,288,6.9,2.0,0.5,0,255,20,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0
24,Arbok,Cobra Pokémon,Intimidate,Shed Skin,Unnerve,1,60,95,69,65,79,80,448,65.0,3.5,0.5,0,90,20,1000000,70,0,0,0,0,2,2,Ekans,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0
25,Pikachu,Mouse Pokémon,Static,None,Lightning Rod,1,35,55,40,50,50,90,320,6.0,0.4,0.5,0,190,10,1000000,70,0,0,0,0,2,3,Pichu,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0
26,Raichu,Mouse Pokémon,Static,None,Lightning Rod,1,60,90,55,90,80,110,485,30.0,0.8,0.5,0,75,10,1000000,70,0,0,0,0,3,3,Pikachu,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0
26,Alolan Raichu,Mouse Pokémon,Surge Surfer,None,None,7,60,85,50,95,85,110,485,30.0,0.8,0.5,0,75,10,1000000,70,0,0,0,0,3,3,Pikachu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.5,0.5,1.0,2.0,1.0,2.0,2.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0
27,Sandshrew,Mouse Pokémon,Sand Veil,None,Sand Rush,1,50,75,85,20,30,40,300,12.0,0.6,0.5,0,255,20,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
27,Alolan Sandshrew,Mouse Pokémon,Snow Cloak,None,Slush Rush,7,50,75,90,10,35,40,300,12.0,0.6,0.5,0,255,20,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,4.0,0.5,0.0,2.0,1.0,0.5,1.0,1.0,4.0,1.0,0.5,1.0,0.5,0.25,0.5,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
28,Sandslash,Mouse Pokémon,Sand Veil,None,Sand Rush,1,75,100,110,45,55,65,450,29.5,1.0,0.5,0,90,20,1000000,70,0,0,0,0,2,2,Sandshrew,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
28,Alolan Sandslash,Mouse Pokémon,Snow Cloak,None,Slush Rush,7,75,100,120,25,65,65,450,29.5,1.0,0.5,0,90,20,1000000,70,0,0,0,0,2,2,Alolan Sandshrew,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,4.0,0.5,0.0,2.0,1.0,0.5,1.0,1.0,4.0,1.0,0.5,1.0,0.5,0.25,0.5,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
29,Nidoran♀,Poison Pin Pokémon,Poison Point,Rivalry,Hustle,1,55,47,52,40,40,41,275,7.0,0.4,0.0,0,235,20,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
30,Nidorina,Poison Pin Pokémon,Poison Point,Rivalry,Hustle,1,70,62,67,55,55,56,365,20.0,0.8,0.0,0,120,20,1059860,70,0,0,0,0,2,3,Nidoran♀,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
31,Nidoqueen,Drill Pokémon,Poison Point,Rivalry,Sheer Force,1,90,92,87,75,85,76,505,60.0,1.3,0.0,0,45,20,1059860,70,0,0,0,0,3,3,Nidorina,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
32,Nidoran♂,Poison Pin Pokémon,Poison Point,Rivalry,Hustle,1,46,57,40,40,40,50,273,9.0,0.5,1.0,0,235,20,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
33,Nidorino,Poison Pin Pokémon,Poison Point,Rivalry,Hustle,1,61,72,57,55,55,65,365,19.5,0.9,1.0,0,120,20,1059860,70,0,0,0,0,2,3,Nidoran♂,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
34,Nidoking,Drill Pokémon,Poison Point,Rivalry,Sheer Force,1,81,102,77,85,75,85,505,62.0,1.4,1.0,0,45,20,1059860,70,0,0,0,0,3,3,Nidorino,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
35,Clefairy,Fairy Pokémon,Cute Charm,Magic Guard,Friend Guard,1,70,45,48,60,65,35,323,7.5,0.6,0.25,0,150,10,800000,140,0,0,0,0,2,3,Cleffa,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0
36,Clefable,Fairy Pokémon,Cute Charm,Magic Guard,Unaware,1,95,70,73,95,90,60,483,40.0,1.3,0.25,0,25,10,800000,140,0,0,0,0,3,3,Clefairy,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0
37,Vulpix,Fox Pokémon,Flash Fire,None,Drought,1,38,41,40,50,65,65,299,9.9,0.6,0.25,0,190,20,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
37,Alolan Vulpix,Fox Pokémon,Snow Cloak,None,Snow Warning,7,38,41,40,50,65,65,299,9.9,0.6,0.25,0,190,20,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
38,Ninetales,Fox Pokémon,Flash Fire,None,Drought,1,73,76,75,81,100,100,505,19.9,1.1,0.25,0,75,20,1000000,70,0,0,0,0,2,2,Vulpix,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
38,Alolan Ninetales,Fox Pokémon,Snow Cloak,None,Snow Warning,7,73,67,75,81,100,109,505,19.9,1.1,0.25,0,75,20,1000000,70,0,0,0,0,2,2,Alolan Vulpix,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
39,Jigglypuff,Balloon Pokémon,Cute Charm,Competitive,Friend Guard,1,115,45,20,45,25,20,270,5.5,0.5,0.25,0,170,10,800000,70,0,0,0,0,2,3,Igglybuff,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0
40,Wigglytuff,Balloon Pokémon,Cute Charm,Competitive,Frisk,1,140,70,45,85,50,45,435,12.0,1.0,0.25,0,50,10,800000,70,0,0,0,0,3,3,Jigglypuff,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0
41,Zubat,Bat Pokémon,Inner Focus,None,Infiltrator,1,40,45,35,30,40,55,245,7.5,0.8,0.5,0,255,15,1000000,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
42,Golbat,Bat Pokémon,Inner Focus,None,Infiltrator,1,75,80,70,65,75,90,455,55.0,1.6,0.5,0,90,15,1000000,70,0,0,0,0,2,3,Zubat,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
43,Oddish,Weed Pokémon,Chlorophyll,None,Run Away,1,45,50,55,75,65,30,320,5.4,0.5,0.5,0,255,20,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0
44,Gloom,Weed Pokémon,Chlorophyll,None,Stench,1,60,65,70,85,75,40,395,8.6,0.8,0.5,0,120,20,1059860,70,0,0,0,0,2,3,Oddish,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0
45,Vileplume,Flower Pokémon,Chlorophyll,None,Effect Spore,1,75,80,85,110,90,50,490,18.6,1.2,0.5,0,45,20,1059860,70,0,0,0,0,3,3,Gloom,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0
46,Paras,Mushroom Pokémon,Effect Spore,Dry Skin,Damp,1,35,70,55,45,55,25,285,5.4,0.3,0.5,0,190,20,1000000,70,0,0,0,0,1,2,No Preevolution,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0
47,Parasect,Mushroom Pokémon,Effect Spore,Dry Skin,Damp,1,60,95,80,60,80,30,405,29.5,1.0,0.5,0,75,20,1000000,70,0,0,0,0,2,2,Paras,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0
