"DexNumber","Name","Type","Abilities","Generation","Hp","Attack","Defense","SpecialAttack","SpecialDefense","Speed","TotalStats","Weight","Height","GenderProbM","Category","CatchRate","EggCycles","EggGroup","LevelingRate","BaseFriendship"
13,"Weedle","['Bug', 'Poison']","['Shield Dust', 'Run Away']","I",40,35,30,20,20,50,195,3.2,0.3,0.5,"Hairy Bug Pokémon","255","15",['Bug'],"Medium Fast
","70
"
14,"Kakuna","['Bug', 'Poison']","['Shed Skin']","I",45,25,50,25,25,35,205,10.0,0.6,0.5,"Cocoon Pokémon","120","15",['Bug'],"Medium Fast
","70
"
15,"Beedrill","['Bug', 'Poison']","['Swarm', 'Sniper']","I",65,90,40,45,80,75,495,29.5,1.0,0.5,"Poison Bee Pokémon","45","15",['Bug'],"Medium Fast
","70
"
16,"Pidgey","['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']","I",40,45,40,35,35,56,251,1.8,0.3,0.5,"Tiny Bird Pokémon","255","15",['Flying'],"Medium Slow
","70
"
17,"Pidgeotto","['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']","I",63,60,55,50,50,71,349,30.0,1.1,0.5,"Bird Pokémon","120","15",['Flying'],"Medium Slow
","70
"
18,"Pidgeot","['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']","I",83,80,75,70,70,101,579,39.5,1.5,0.5,"Bird Pokémon","45","15",['Flying'],"Medium Slow
","70
"
19,"Rattata","['Normal']","['Run Away', 'Guts', 'Hustle']","I",30,56,35,25,35,72,253,3.5,0.3,0.5,"Mouse Pokémon","255","15",['Field'],"Medium Fast
","70
"
19,"Alolan Rattata","['Dark', 'Normal']","['Gluttony', 'Hustle', 'Thick Fat']","I",30,56,35,25,35,72,253,3.5,0.3,0.5,"Mouse Pokémon","255","15",['Field'],"Medium Fast
","70
"
20,"Raticate","['Normal']","['Run Away', 'Guts', 'Hustle']","I",55,81,60,50,70,97,413,18.5,0.7,0.5,"Mouse Pokémon","127","15",['Field'],"Medium Fast
","70
"
20,"Alolan Raticate","['Dark', 'Normal']","['Gluttony', 'Hustle', 'Thick Fat']","I",75,71,70,40,80,77,413,18.5,0.7,0.5,"Mouse Pokémon","127","15",['Field'],"Medium Fast
","70
"
21,"Spearow","['Normal', 'Flying']","['Keen Eye', 'Sniper']","I",40,60,30,31,31,70,262,2.0,0.3,0.5,"Tiny Bird Pokémon","255","15",['Flying'],"Medium Fast
","70
"
22,"Fearow","['Normal', 'Flying']","['Keen Eye', 'Sniper']","I",65,90,65,61,61,100,442,38.0,1.2,0.5,"Beak Pokémon","90","15",['Flying'],"Medium Fast
","70
"
23,"Ekans","['Poison']","['Intimidate', 'Shed Skin', 'Unnerve']","I",35,60,44,40,54,55,288,6.9,2.0,0.5,"Snake Pokémon","255","20",['Field' 'Dragon'],"Medium Fast
","70
"
24,"Arbok","['Poison']","['Intimidate', 'Shed Skin', 'Unnerve']","I",60,95,69,65,79,80,448,65.0,3.5,0.5,"Cobra Pokémon","90","20",['Field' 'Dragon'],"Medium Fast
","70
"
25,"Pikachu","['Electric']","['Lightning Rod']","I",45,80,50,75,60,120,430,6.0,0.4,0.5,"Mouse Pokémon","190","10",['Field' 'Fairy' 'No Eggs Discovered'],"Medium Fast
","70
"
26,"Raichu","['Electric']","['Static', 'Lightning Rod']","I",60,90,55,90,80,110,485,30.0,0.8,0.5,"Mouse Pokémon","75","10",['Field' 'Fairy'],"Medium Fast
","70
"
26,"Alolan Raichu","['Electric', 'Psychic']","['Surge Surfer']","I",60,85,50,95,85,110,485,30.0,0.8,0.5,"Mouse Pokémon","75","10",['Field' 'Fairy'],"Medium Fast
","70
"
27,"Sandshrew","['Ground']","['Sand Veil', 'Sand Rush']","I",50,75,85,20,30,40,300,12.0,0.6,0.5,"Mouse Pokémon","255","20",['Field'],"Medium Fast
","70
"
27,"Alolan Sandshrew","['Ice', 'Steel']","['Snow Cloak', 'Slush Rush']","I",50,75,90,10,35,40,300,12.0,0.6,0.5,"Mouse Pokémon","255","20",['Field'],"Medium Fast
","70
"
28,"Sandslash","['Ground']","['Sand Veil', 'Sand Rush']","I",75,100,110,45,55,65,450,29.5,1.0,0.5,"Mouse Pokémon","90","20",['Field'],"Medium Fast
","70
"
28,"Alolan Sandslash","['Ice', 'Steel']","['Snow Cloak', 'Slush Rush']","I",75,100,120,25,65,65,450,29.5,1.0,0.5,"Mouse Pokémon","90","20",['Field'],"Medium Fast
","70
"
29,"Nidoran♀","['Poison']","['Poison Point', 'Rivalry', 'Hustle']","I",55,47,52,40,40,41,275,7.0,0.4,0.0,"Poison Pin Pokémon","235","20",['Monster' 'Field'],"Medium Slow
","70
"
30,"Nidorina","['Poison']","['Poison Point', 'Rivalry', 'Hustle']","I",70,62,67,55,55,56,365,20.0,0.8,0.0,"Poison Pin Pokémon","120","20",['No Eggs Discovered'],"Medium Slow
","70
"
31,"Nidoqueen","['Poison', 'Ground']","['Poison Point', 'Rivalry', 'Sheer Force']","I",90,92,87,75,85,76,505,60.0,1.3,0.0,"Drill Pokémon","45","20",['No Eggs Discovered'],"Medium Slow
","70
"
32,"Nidoran♂","['Poison']","['Poison Point', 'Rivalry', 'Hustle']","I",46,57,40,40,40,50,273,9.0,0.5,1.0,"Poison Pin Pokémon","235","20",['Monster' 'Field'],"Medium Slow
","70
"
33,"Nidorino","['Poison']","['Poison Point', 'Rivalry', 'Hustle']","I",61,72,57,55,55,65,365,19.5,0.9,1.0,"Poison Pin Pokémon","120","20",['Monster' 'Field'],"Medium Slow
","70
"
34,"Nidoking","['Poison', 'Ground']","['Poison Point', 'Rivalry', 'Sheer Force']","I",81,102,77,85,75,85,505,62.0,1.4,1.0,"Drill Pokémon","45","20",['Monster' 'Field'],"Medium Slow
","70
"
35,"Clefairy","['Fairy']","['Cute Charm', 'Magic Guard', 'Friend Guard']","I",70,45,48,60,65,35,323,7.5,0.6,0.25,"Fairy Pokémon","150","10",['Fairy'],"Fast
","140
"
36,"Clefable","['Fairy']","['Cute Charm', 'Magic Guard', 'Unaware']","I",95,70,73,95,90,60,483,40.0,1.3,0.25,"Fairy Pokémon","25","10",['Fairy'],"Fast
","140
"
37,"Vulpix","['Fire']","['Flash Fire', 'Drought']","I",38,41,40,50,65,65,299,9.9,0.6,0.25,"Fox Pokémon","190","20",['Field'],"Medium Fast
","70
"
37,"Alolan Vulpix","['Ice']","['Snow Cloak', 'Snow Warning']","I",38,41,40,50,65,65,299,9.9,0.6,0.25,"Fox Pokémon","190","20",['Field'],"Medium Fast
","70
"
38,"Ninetales","['Fire']","['Flash Fire', 'Drought']","I",73,76,75,81,100,100,505,19.9,1.1,0.25,"Fox Pokémon","75","20",['Field'],"Medium Fast
","70
"
38,"Alolan Ninetales","['Ice', 'Fairy']","['Snow Cloak', 'Snow Warning']","I",73,67,75,81,100,109,505,19.9,1.1,0.25,"Fox Pokémon","75","20",['Field'],"Medium Fast
","70
"
39,"Jigglypuff","['Normal', 'Fairy']","['Cute Charm', 'Competitive', 'Friend Guard']","I",115,45,20,45,25,20,270,5.5,0.5,0.25,"Balloon Pokémon","170","10",['Fairy'],"Fast
","70
"
40,"Wigglytuff","['Normal', 'Fairy']","['Cute Charm', 'Competitive', 'Frisk']","I",140,70,45,85,50,45,435,12.0,1.0,0.25,"Balloon Pokémon","50","10",['Fairy'],"Fast
","70
"
41,"Zubat","['Poison', 'Flying']","['Inner Focus', 'Infiltrator']","I",40,45,35,30,40,55,245,7.5,0.8,0.5,"Bat Pokémon","255","15",['Flying'],"Medium Fast
","70
"
42,"Golbat","['Poison', 'Flying']","['Inner Focus', 'Infiltrator']","I",75,80,70,65,75,90,455,55.0,1.6,0.5,"Bat Pokémon","90","15",['Flying'],"Medium Fast
","70
"
43,"Oddish","['Grass', 'Poison']","['Chlorophyll', 'Run Away']","I",45,50,55,75,65,30,320,5.4,0.5,0.5,"Weed Pokémon","255","20",['Grass'],"Medium Slow
","70
"
44,"Gloom","['Grass', 'Poison']","['Chlorophyll', 'Stench']","I",60,65,70,85,75,40,395,8.6,0.8,0.5,"Weed Pokémon","120","20",['Grass'],"Medium Slow
","70
"
45,"Vileplume","['Grass', 'Poison']","['Chlorophyll', 'Effect Spore']","I",75,80,85,110,90,50,490,18.6,1.2,0.5,"Flower Pokémon","45","20",['Grass'],"Medium Slow
","70
"
46,"Paras","['Bug', 'Grass']","['Effect Spore', 'Dry Skin', 'Damp']","I",35,70,55,45,55,25,285,5.4,0.3,0.5,"Mushroom Pokémon","190","20",['Bug' 'Grass'],"Medium Fast
","70
"
47,"Parasect","['Bug', 'Grass']","['Effect Spore', 'Dry Skin', 'Damp']","I",60,95,80,60,80,30,405,29.5,1.0,0.5,"Mushroom Pokémon","75","20",['Bug' 'Grass'],"Medium Fast
","70
"
48,"Venonat","['Bug', 'Poison']","['Compound Eyes', 'Tinted Lens', 'Run Away']","I",60,55,50,40,55,45,305,30.0,1.0,0.5,"Insect Pokémon","190","20",['Bug'],"Medium Fast
","70
"
49,"Venomoth","['Bug', 'Poison']","['Shield Dust', 'Tinted Lens', 'Wonder Skin']","I",70,65,60,90,75,90,450,12.5,1.5,0.5,"Poison Moth Pokémon","75","20",['Bug'],"Medium Fast
","70
"
50,"Diglett","['Ground']","['Sand Veil', 'Arena Trap', 'Sand Force']","I",10,55,25,35,45,95,265,0.8,0.2,0.5,"Mole Pokémon","255","20",['Field'],"Medium Fast
","70
"
50,"Alolan Diglett","['Ground', 'Steel']","['Sand Veil', 'Tangling Hair', 'Sand Force']","I",10,55,30,35,45,90,265,0.8,0.2,0.5,"Mole Pokémon","255","20",['Field'],"Medium Fast
","70
"
51,"Dugtrio","['Ground']","['Sand Veil', 'Arena Trap', 'Sand Force']","I",35,100,50,50,70,120,425,33.3,0.7,0.5,"Mole Pokémon","50","20",['Field'],"Medium Fast
","70
"
51,"Alolan Dugtrio","['Ground', 'Steel']","['Sand Veil', 'Tangling Hair', 'Sand Force']","I",35,100,60,50,70,110,425,33.3,0.7,0.5,"Mole Pokémon","50","20",['Field'],"Medium Fast
","70
"
52,"Meowth","['Normal']","['Pickup']","I",40,45,35,40,40,90,290,4.2,0.4,0.5,"Scratch Cat Pokémon","255","20",['Field'],"Medium Fast
","70
"
52,"Alolan Meowth","['Dark']","['Rattled']","I",40,35,35,50,40,90,290,4.2,0.4,0.5,"Scratch Cat Pokémon","255","20",['Field'],"Medium Fast
","70
"
52,"Galarian Meowth","['Steel']","['Pickup']","I",50,65,55,40,40,40,290,4.2,0.4,0.5,"Scratch Cat Pokémon","255","20",['Field'],"Medium Fast
","70
"
53,"Persian","['Normal']","['Limber', 'Technician', 'Unnerve']","I",65,70,60,65,65,115,440,32.0,1.0,0.5,"Classy Cat Pokémon","90","20",['Field'],"Medium Fast
","70
"
53,"Alolan Persian","['Dark']","['Fur Coat', 'Technician', 'Rattled']","I",65,60,60,75,65,115,440,32.0,1.0,0.5,"Classy Cat Pokémon","90","20",['Field'],"Medium Fast
","70
"
54,"Psyduck","['Water']","['Damp', 'Cloud Nine', 'Swift Swim']","I",50,52,48,65,50,55,320,19.6,0.8,0.5,"Duck Pokémon","190","20",['Water 1' 'Field'],"Medium Fast
","70
"
55,"Golduck","['Water']","['Damp', 'Cloud Nine', 'Swift Swim']","I",80,82,78,95,80,85,500,76.6,1.7,0.5,"Duck Pokémon","75","20",['Water 1' 'Field'],"Medium Fast
","70
"
56,"Mankey","['Fighting']","['Vital Spirit', 'Anger Point', 'Defiant']","I",40,80,35,35,45,70,305,28.0,0.5,0.5,"Pig Monkey Pokémon","190","20",['Field'],"Medium Fast
","70
"
57,"Primeape","['Fighting']","['Vital Spirit', 'Anger Point', 'Defiant']","I",65,105,60,60,70,95,455,32.0,1.0,0.5,"Pig Monkey Pokémon","75","20",['Field'],"Medium Fast
","70
"
58,"Growlithe","['Fire']","['Justified']","I",60,75,45,65,50,55,350,19.0,0.7,0.75,"Puppy PokémonScout Pokémon","190","20",['Field'],"Slow
","70
"
58,"Hisuian Growlithe","['Fire', 'Rock']","['Intimidate', 'Flash Fire', 'Rock Head']","I",60,75,45,65,50,55,350,19.0,0.7,0.75,"Puppy PokémonScout Pokémon","190","20",['Field'],"Slow
","70
"
59,"Arcanine","['Fire']","['Justified']","I",90,110,80,100,80,95,555,155.0,1.9,0.75,"Legendary Pokémon","75","20",['Field'],"Slow
","70
"
59,"Hisuian Arcanine","['Fire', 'Rock']","['Intimidate', 'Flash Fire', 'Rock Head']","I",95,115,80,95,80,90,555,155.0,1.9,0.75,"Legendary Pokémon","75","20",['Field'],"Slow
","70
"
60,"Poliwag","['Water']","['Water Absorb', 'Damp', 'Swift Swim']","I",40,50,40,40,40,90,300,12.4,0.6,0.5,"Tadpole Pokémon","255","20",['Water 1'],"Medium Slow
","70
"
61,"Poliwhirl","['Water']","['Water Absorb', 'Damp', 'Swift Swim']","I",65,65,65,50,50,90,385,20.0,1.0,0.5,"Tadpole Pokémon","120","20",['Water 1'],"Medium Slow
","70
"
62,"Poliwrath","['Water', 'Fighting']","['Water Absorb', 'Damp', 'Swift Swim']","I",90,95,95,70,90,70,510,54.0,1.3,0.5,"Tadpole Pokémon","45","20",['Water 1'],"Medium Slow
","70
"
63,"Abra","['Psychic']","['Synchronize', 'Inner Focus', 'Magic Guard']","I",25,20,15,105,55,90,310,19.5,0.9,0.75,"Psi Pokémon","200","20",['Human-Like'],"Medium Slow
","70
"
64,"Kadabra","['Psychic']","['Synchronize', 'Inner Focus', 'Magic Guard']","I",40,35,30,120,70,105,400,56.5,1.3,0.75,"Psi Pokémon","100","20",['Human-Like'],"Medium Slow
","70
"
65,"Alakazam","['Psychic']","['Synchronize', 'Inner Focus', 'Magic Guard']","I",55,50,45,135,95,120,600,48.0,1.5,0.75,"Psi Pokémon","50","20",['Human-Like'],"Medium Slow
","70
"
66,"Machop","['Fighting']","['Guts', 'No Guard', 'Steadfast']","I",70,80,50,35,35,35,305,19.5,0.8,0.75,"Superpower Pokémon","180","20",['Human-Like'],"Medium Slow
","70
"
67,"Machoke","['Fighting']","['Guts', 'No Guard', 'Steadfast']","I",80,100,70,50,60,45,405,70.5,1.5,0.75,"Superpower Pokémon","90","20",['Human-Like'],"Medium Slow
","70
"
68,"Machamp","['Fighting']","['Steadfast']","I",90,130,80,65,85,55,505,130.0,1.6,0.75,"Superpower Pokémon","45","20",['Human-Like'],"Medium Slow
","70
"
69,"Bellsprout","['Grass', 'Poison']","['Chlorophyll', 'Gluttony']","I",50,75,35,70,30,40,300,4.0,0.7,0.5,"Flower Pokémon","255","20",['Grass'],"Medium Slow
","70
"
70,"Weepinbell","['Grass', 'Poison']","['Chlorophyll', 'Gluttony']","I",65,90,50,85,45,55,390,6.4,1.0,0.5,"Flycatcher Pokémon","120","20",['Grass'],"Medium Slow
","70
"
71,"Victreebel","['Grass', 'Poison']","['Chlorophyll', 'Gluttony']","I",80,105,65,100,70,70,490,15.5,1.7,0.5,"Flycatcher Pokémon","45","20",['Grass'],"Medium Slow
","70
"
72,"Tentacool","['Water', 'Poison']","['Clear Body', 'Liquid Ooze', 'Rain Dish']","I",40,40,35,50,100,70,335,45.5,0.9,0.5,"Jellyfish Pokémon","190","20",['Water 3'],"Slow
","70
"
73,"Tentacruel","['Water', 'Poison']","['Clear Body', 'Liquid Ooze', 'Rain Dish']","I",80,70,65,80,120,100,515,55.0,1.6,0.5,"Jellyfish Pokémon","60","20",['Water 3'],"Slow
","70
"
74,"Geodude","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Sand Veil']","I",40,80,100,30,30,20,300,20.0,0.4,0.5,"Rock Pokémon","255","15",['Mineral'],"Medium Slow
","70
"
74,"Alolan Geodude","['Rock', 'Electric']","['Magnet Pull', 'Sturdy', 'Galvanize']","I",40,80,100,30,30,20,300,20.0,0.4,0.5,"Rock Pokémon","255","15",['Mineral'],"Medium Slow
","70
"
75,"Graveler","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Sand Veil']","I",55,95,115,45,45,35,390,105.0,1.0,0.5,"Rock Pokémon","120","15",['Mineral'],"Medium Slow
","70
"
75,"Alolan Graveler","['Rock', 'Electric']","['Magnet Pull', 'Sturdy', 'Galvanize']","I",55,95,115,45,45,35,390,105.0,1.0,0.5,"Rock Pokémon","120","15",['Mineral'],"Medium Slow
","70
"
76,"Golem","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Sand Veil']","I",80,120,130,55,65,45,495,300.0,1.4,0.5,"Megaton Pokémon","45","15",['Mineral'],"Medium Slow
","70
"
76,"Alolan Golem","['Rock', 'Electric']","['Magnet Pull', 'Sturdy', 'Galvanize']","I",80,120,130,55,65,45,495,300.0,1.4,0.5,"Megaton Pokémon","45","15",['Mineral'],"Medium Slow
","70
"
77,"Ponyta","['Fire']","['Run Away', 'Flash Fire', 'Flame Body']","I",50,85,55,65,65,90,410,30.0,1.0,0.5,"Fire Horse PokémonUnique Horn Pokémon","190","20",['Field'],"Medium Fast
","70
"
77,"Galarian Ponyta","['Psychic']","['Run Away', 'Pastel Veil', 'Anticipation']","I",50,85,55,65,65,90,410,30.0,1.0,0.5,"Fire Horse PokémonUnique Horn Pokémon","190","20",['Field'],"Medium Fast
","70
"
78,"Rapidash","['Fire']","['Run Away', 'Flash Fire', 'Flame Body']","I",65,100,70,80,80,105,500,95.0,1.7,0.5,"Fire Horse PokémonUnique Horn Pokémon","60","20",['Field'],"Medium Fast
","70
"
78,"Galarian Rapidash","['Psychic', 'Fairy']","['Run Away', 'Pastel Veil', 'Anticipation']","I",65,100,70,80,80,105,500,95.0,1.7,0.5,"Fire Horse PokémonUnique Horn Pokémon","60","20",['Field'],"Medium Fast
","70
"
79,"Slowpoke","['Water', 'Psychic']","['Oblivious', 'Own Tempo', 'Regenerator']","I",90,65,65,40,40,15,315,36.0,1.2,0.5,"Dopey Pokémon","190","20",['Monster' 'Water 1'],"Medium Fast
","70
"
79,"Galarian Slowpoke","['Psychic']","['Gluttony', 'Own Tempo', 'Regenerator']","I",90,65,65,40,40,15,315,36.0,1.2,0.5,"Dopey Pokémon","190","20",['Monster' 'Water 1'],"Medium Fast
","70
"
80,"Slowbro","['Water', 'Psychic']","['Oblivious', 'Own Tempo', 'Regenerator']","I",95,75,110,100,80,30,490,78.5,1.6,0.5,"Hermit Crab Pokémon","75","20",['Monster' 'Water 1'],"Medium Fast
","70
"
80,"Galarian Slowbro","['Poison', 'Psychic']","['Quick Draw', 'Own Tempo', 'Regenerator']","I",95,100,95,100,70,30,490,78.5,1.6,0.5,"Hermit Crab Pokémon","75","20",['Monster' 'Water 1'],"Medium Fast
","70
"
81,"Magnemite","['Electric', 'Steel']","['Magnet Pull', 'Sturdy', 'Analytic']","I",25,35,70,95,55,45,325,6.0,0.3,"","Magnet Pokémon","190","20",['Mineral'],"Medium Fast
","70
"
82,"Magneton","['Electric', 'Steel']","['Magnet Pull', 'Sturdy', 'Analytic']","I",50,60,95,120,70,70,465,60.0,1.0,"","Magnet Pokémon","60","20",['Mineral'],"Medium Fast
","70
"
83,"Farfetch'd","['Normal', 'Flying']","['Keen Eye', 'Inner Focus', 'Defiant']","I",52,90,55,58,62,60,377,15.0,0.8,0.5,"Wild Duck Pokémon","45","20",['Flying' 'Field'],"Medium Fast
","70
"
83,"Galarian Farfetch'd","['Fighting']","['Steadfast', 'Scrappy']","I",52,95,55,58,62,55,377,15.0,0.8,0.5,"Wild Duck Pokémon","45","20",['Flying' 'Field'],"Medium Fast
","70
"
84,"Doduo","['Normal', 'Flying']","['Run Away', 'Early Bird', 'Tangled Feet']","I",35,85,45,35,35,75,310,39.2,1.4,0.5,"Twin Bird Pokémon","190","20",['Flying'],"Medium Fast
","70
"
85,"Dodrio","['Normal', 'Flying']","['Run Away', 'Early Bird', 'Tangled Feet']","I",60,110,70,60,60,110,470,85.2,1.8,0.5,"Triple Bird Pokémon","45","20",['Flying'],"Medium Fast
","70
"
86,"Seel","['Water']","['Thick Fat', 'Hydration', 'Ice Body']","I",65,45,55,45,70,45,325,90.0,1.1,0.5,"Sea Lion Pokémon","190","20",['Water 1' 'Field'],"Medium Fast
","70
"
87,"Dewgong","['Water', 'Ice']","['Thick Fat', 'Hydration', 'Ice Body']","I",90,70,80,70,95,70,475,120.0,1.7,0.5,"Sea Lion Pokémon","75","20",['Water 1' 'Field'],"Medium Fast
","70
"
88,"Grimer","['Poison']","['Stench', 'Sticky Hold', 'Poison Touch']","I",80,80,50,40,50,25,325,30.0,0.9,0.5,"Sludge Pokémon","190","20",['Amorphous'],"Medium Fast
","70
"
88,"Alolan Grimer","['Poison', 'Dark']","['Poison Touch', 'Gluttony', 'Power of Alchemy']","I",80,80,50,40,50,25,325,30.0,0.9,0.5,"Sludge Pokémon","190","20",['Amorphous'],"Medium Fast
","70
"
89,"Muk","['Poison']","['Stench', 'Sticky Hold', 'Poison Touch']","I",105,105,75,65,100,50,500,30.0,1.2,0.5,"Sludge Pokémon","75","20",['Amorphous'],"Medium Fast
","70
"
89,"Alolan Muk","['Poison', 'Dark']","['Poison Touch', 'Gluttony', 'Power of Alchemy']","I",105,105,75,65,100,50,500,30.0,1.2,0.5,"Sludge Pokémon","75","20",['Amorphous'],"Medium Fast
","70
"
90,"Shellder","['Water']","['Shell Armor', 'Skill Link', 'Overcoat']","I",30,65,100,45,25,40,305,4.0,0.3,0.5,"Bivalve Pokémon","190","20",['Water 3'],"Slow
","70
"
91,"Cloyster","['Water', 'Ice']","['Shell Armor', 'Skill Link', 'Overcoat']","I",50,95,180,85,45,70,525,132.5,1.5,0.5,"Bivalve Pokémon","60","20",['Water 3'],"Slow
","70
"
92,"Gastly","['Ghost', 'Poison']","['Levitate']","I",30,35,30,100,35,80,310,0.1,1.3,0.5,"Gas Pokémon","190","20",['Amorphous'],"Medium Slow
","70
"
93,"Haunter","['Ghost', 'Poison']","['Levitate']","I",45,50,45,115,55,95,405,0.1,1.6,0.5,"Gas Pokémon","90","20",['Amorphous'],"Medium Slow
","70
"
94,"Gengar","['Ghost', 'Poison']","['Cursed Body']","I",60,65,60,130,75,110,600,40.5,1.5,0.5,"Shadow Pokémon","45","20",['Amorphous'],"Medium Slow
","70
"
95,"Onix","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Weak Armor']","I",35,45,160,30,45,70,385,210.0,8.8,0.5,"Rock Snake Pokémon","45","25",['Mineral'],"Medium Fast
","70
"
96,"Drowzee","['Psychic']","['Insomnia', 'Forewarn', 'Inner Focus']","I",60,48,45,43,90,42,328,32.4,1.0,0.5,"Hypnosis Pokémon","190","20",['Human-Like'],"Medium Fast
","70
"
97,"Hypno","['Psychic']","['Insomnia', 'Forewarn', 'Inner Focus']","I",85,73,70,73,115,67,483,75.6,1.6,0.5,"Hypnosis Pokémon","75","20",['Human-Like'],"Medium Fast
","70
"
98,"Krabby","['Water']","['Hyper Cutter', 'Shell Armor', 'Sheer Force']","I",30,105,90,25,25,50,325,6.5,0.4,0.5,"River Crab Pokémon","225","20",['Water 3'],"Medium Fast
","70
"
99,"Kingler","['Water']","['Sheer Force']","I",55,130,115,50,50,75,475,60.0,1.3,0.5,"Pincer Pokémon","60","20",['Water 3'],"Medium Fast
","70
"
100,"Voltorb","['Electric']","['Aftermath']","I",40,30,50,55,55,100,330,10.4,0.5,"","Ball PokémonSphere Pokémon","190","20",['Mineral'],"Medium Fast
","70
"
100,"Hisuian Voltorb","['Electric', 'Grass']","['Soundproof', 'Static', 'Aftermath']","I",40,30,50,55,55,100,330,10.4,0.5,"","Ball PokémonSphere Pokémon","190","20",['Mineral'],"Medium Fast
","70
"
101,"Electrode","['Electric']","['Aftermath']","I",60,50,70,80,80,150,490,66.6,1.2,"","Ball PokémonSphere Pokémon","60","20",['Mineral'],"Medium Fast
","70
"
101,"Hisuian Electrode","['Electric', 'Grass']","['Soundproof', 'Static', 'Aftermath']","I",60,50,70,80,80,150,490,66.6,1.2,"","Ball PokémonSphere Pokémon","60","20",['Mineral'],"Medium Fast
","70
"
102,"Exeggcute","['Grass', 'Psychic']","['Chlorophyll', 'Harvest']","I",60,40,80,60,45,40,325,2.5,0.4,0.5,"Egg Pokémon","90","20",['Grass'],"Slow
","70
"
103,"Exeggutor","['Grass', 'Psychic']","['Chlorophyll', 'Harvest']","I",95,95,85,125,75,55,530,120.0,2.0,0.5,"Coconut Pokémon","45","20",['Grass'],"Slow
","70
"
103,"Alolan Exeggutor","['Grass', 'Dragon']","['Frisk', 'Harvest']","I",95,105,85,125,75,45,530,120.0,2.0,0.5,"Coconut Pokémon","45","20",['Grass'],"Slow
","70
"
104,"Cubone","['Ground']","['Rock Head', 'Lightning Rod', 'Battle Armor']","I",50,50,95,40,50,35,320,6.5,0.4,0.5,"Lonely Pokémon","190","20",['Monster'],"Medium Fast
","70
"
