DexNumber,Name,Type1,Type2,Ability1,Ability2,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,NoGender,Category,CatchRate,EggCycles,EggGroup1,EggGroup2,LevelingRate,BaseFriendship,IsLegendary,IsMythical,IsUltraBeast,HasMega,EvoStage,TotalEvoStages,PreevoName,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy
10,Caterpie,Bug,Bug,Shield Dust,Run Away,None,1,45,30,35,20,20,45,195,2.9,0.3,0.5,0,Worm Pokémon,255,15,Bug,No Egg Group,Medium Fast,70,0,0,0,0,1,3,No Preevolution,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
11,Metapod,Bug,Bug,Shed Skin,None,None,1,50,20,55,25,25,30,205,9.9,0.7,0.5,0,Cocoon Pokémon,120,15,Bug,No Egg Group,Medium Fast,70,0,0,0,0,2,3,Caterpie,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
12,Butterfree,Bug,Flying,Tinted Lens,None,None,1,60,45,50,90,80,70,395,32.0,1.1,0.5,0,Butterfly Pokémon,45,15,Bug,No Egg Group,Medium Fast,70,0,0,0,0,3,3,Metapod,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
13,Weedle,Bug,Poison,Shield Dust,Run Away,None,1,40,35,30,20,20,50,195,3.2,0.3,0.5,0,Hairy Bug Pokémon,255,15,Bug,No Egg Group,Medium Fast,70,0,0,0,0,1,3,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
14,Kakuna,Bug,Poison,Shed Skin,None,None,1,45,25,50,25,25,35,205,10.0,0.6,0.5,0,Cocoon Pokémon,120,15,Bug,No Egg Group,Medium Fast,70,0,0,0,0,2,3,Weedle,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
15,Beedrill,Bug,Poison,Swarm,Sniper,None,1,65,90,40,45,80,75,495,29.5,1.0,0.5,0,Poison Bee Pokémon,45,15,Bug,No Egg Group,Medium Fast,70,0,0,0,1,3,3,Kakuna,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
16,Pidgey,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,40,45,40,35,35,56,251,1.8,0.3,0.5,0,Tiny Bird Pokémon,255,15,Flying,No Egg Group,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
17,Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,63,60,55,50,50,71,349,30.0,1.1,0.5,0,Bird Pokémon,120,15,Flying,No Egg Group,Medium Slow,70,0,0,0,0,2,3,Pidgey,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
18,Pidgeot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,83,80,75,70,70,101,579,39.5,1.5,0.5,0,Bird Pokémon,45,15,Flying,No Egg Group,Medium Slow,70,0,0,0,1,3,3,Pidgeotto,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
19,Rattata,Normal,Normal,Run Away,Guts,Hustle,1,30,56,35,25,35,72,253,3.5,0.3,0.5,0,Mouse Pokémon,255,15,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Alolan Rattata,Dark,Normal,Gluttony,Hustle,Thick Fat,7,30,56,35,25,35,72,253,3.5,0.3,0.5,0,Mouse Pokémon,255,15,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
20,Raticate,Normal,Normal,Run Away,Guts,Hustle,1,55,81,60,50,70,97,413,18.5,0.7,0.5,0,Mouse Pokémon,127,15,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Rattata,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Alolan Raticate,Dark,Normal,Gluttony,Hustle,Thick Fat,7,75,71,70,40,80,77,413,18.5,0.7,0.5,0,Mouse Pokémon,127,15,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Alolan Rattata,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
21,Spearow,Normal,Flying,Keen Eye,Sniper,None,1,40,60,30,31,31,70,262,2.0,0.3,0.5,0,Tiny Bird Pokémon,255,15,Flying,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
22,Fearow,Normal,Flying,Keen Eye,Sniper,None,1,65,90,65,61,61,100,442,38.0,1.2,0.5,0,Beak Pokémon,90,15,Flying,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Spearow,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
23,Ekans,Poison,Poison,Intimidate,Shed Skin,Unnerve,1,35,60,44,40,54,55,288,6.9,2.0,0.5,0,Snake Pokémon,255,20,Field,Dragon,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
24,Arbok,Poison,Poison,Intimidate,Shed Skin,Unnerve,1,60,95,69,65,79,80,448,65.0,3.5,0.5,0,Cobra Pokémon,90,20,Field,Dragon,Medium Fast,70,0,0,0,0,2,2,Ekans,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
25,Pikachu,Electric,Electric,Lightning Rod,None,None,1,45,80,50,75,60,120,430,6.0,0.4,0.5,0,Mouse Pokémon,190,10,Field,Fairy,Medium Fast,70,0,0,0,0,2,3,Pichu,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
26,Raichu,Electric,Electric,Static,Lightning Rod,None,1,60,90,55,90,80,110,485,30.0,0.8,0.5,0,Mouse Pokémon,75,10,Field,Fairy,Medium Fast,70,0,0,0,0,3,3,Pikachu,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
26,Alolan Raichu,Electric,Psychic,Surge Surfer,None,None,7,60,85,50,95,85,110,485,30.0,0.8,0.5,0,Mouse Pokémon,75,10,Field,Fairy,Medium Fast,70,0,0,0,0,3,3,Pikachu,1.0,0.5,0.5,1.0,2.0,1.0,2.0,2.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0
27,Sandshrew,Ground,Ground,Sand Veil,Sand Rush,None,1,50,75,85,20,30,40,300,12.0,0.6,0.5,0,Mouse Pokémon,255,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
27,Alolan Sandshrew,Ice,Steel,Snow Cloak,Slush Rush,None,7,50,75,90,10,35,40,300,12.0,0.6,0.5,0,Mouse Pokémon,255,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,0.5,4.0,0.5,0.0,2.0,1.0,0.5,1.0,1.0,4.0,1.0,0.5,1.0,0.5,0.25,0.5,1.0,0.5
28,Sandslash,Ground,Ground,Sand Veil,Sand Rush,None,1,75,100,110,45,55,65,450,29.5,1.0,0.5,0,Mouse Pokémon,90,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Sandshrew,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
28,Alolan Sandslash,Ice,Steel,Snow Cloak,Slush Rush,None,7,75,100,120,25,65,65,450,29.5,1.0,0.5,0,Mouse Pokémon,90,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Alolan Sandshrew,0.5,4.0,0.5,0.0,2.0,1.0,0.5,1.0,1.0,4.0,1.0,0.5,1.0,0.5,0.25,0.5,1.0,0.5
29,Nidoran♀,Poison,Poison,Poison Point,Rivalry,Hustle,1,55,47,52,40,40,41,275,7.0,0.4,0.0,0,Poison Pin Pokémon,235,20,Monster,Field,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
30,Nidorina,Poison,Poison,Poison Point,Rivalry,Hustle,1,70,62,67,55,55,56,365,20.0,0.8,0.0,0,Poison Pin Pokémon,120,20,No Eggs Discovered,No Egg Group,Medium Slow,70,0,0,0,0,2,3,Nidoran♀,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
31,Nidoqueen,Poison,Ground,Poison Point,Rivalry,Sheer Force,1,90,92,87,75,85,76,505,60.0,1.3,0.0,0,Drill Pokémon,45,20,No Eggs Discovered,No Egg Group,Medium Slow,70,0,0,0,0,3,3,Nidorina,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5
32,Nidoran♂,Poison,Poison,Poison Point,Rivalry,Hustle,1,46,57,40,40,40,50,273,9.0,0.5,1.0,0,Poison Pin Pokémon,235,20,Monster,Field,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
33,Nidorino,Poison,Poison,Poison Point,Rivalry,Hustle,1,61,72,57,55,55,65,365,19.5,0.9,1.0,0,Poison Pin Pokémon,120,20,Monster,Field,Medium Slow,70,0,0,0,0,2,3,Nidoran♂,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
34,Nidoking,Poison,Ground,Poison Point,Rivalry,Sheer Force,1,81,102,77,85,75,85,505,62.0,1.4,1.0,0,Drill Pokémon,45,20,Monster,Field,Medium Slow,70,0,0,0,0,3,3,Nidorino,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5
35,Clefairy,Fairy,Fairy,Cute Charm,Magic Guard,Friend Guard,1,70,45,48,60,65,35,323,7.5,0.6,0.25,0,Fairy Pokémon,150,10,Fairy,No Egg Group,Fast,140,0,0,0,0,2,3,Cleffa,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
36,Clefable,Fairy,Fairy,Cute Charm,Magic Guard,Unaware,1,95,70,73,95,90,60,483,40.0,1.3,0.25,0,Fairy Pokémon,25,10,Fairy,No Egg Group,Fast,140,0,0,0,0,3,3,Clefairy,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
37,Vulpix,Fire,Fire,Flash Fire,Drought,None,1,38,41,40,50,65,65,299,9.9,0.6,0.25,0,Fox Pokémon,190,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
37,Alolan Vulpix,Ice,Ice,Snow Cloak,Snow Warning,None,7,38,41,40,50,65,65,299,9.9,0.6,0.25,0,Fox Pokémon,190,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
38,Ninetales,Fire,Fire,Flash Fire,Drought,None,1,73,76,75,81,100,100,505,19.9,1.1,0.25,0,Fox Pokémon,75,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Vulpix,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
38,Alolan Ninetales,Ice,Fairy,Snow Cloak,Snow Warning,None,7,73,67,75,81,100,109,505,19.9,1.1,0.25,0,Fox Pokémon,75,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Alolan Vulpix,1.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0
39,Jigglypuff,Normal,Fairy,Cute Charm,Competitive,Friend Guard,1,115,45,20,45,25,20,270,5.5,0.5,0.25,0,Balloon Pokémon,170,10,Fairy,No Egg Group,Fast,70,0,0,0,0,2,3,Igglybuff,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
40,Wigglytuff,Normal,Fairy,Cute Charm,Competitive,Frisk,1,140,70,45,85,50,45,435,12.0,1.0,0.25,0,Balloon Pokémon,50,10,Fairy,No Egg Group,Fast,70,0,0,0,0,3,3,Jigglypuff,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
41,Zubat,Poison,Flying,Inner Focus,Infiltrator,None,1,40,45,35,30,40,55,245,7.5,0.8,0.5,0,Bat Pokémon,255,15,Flying,No Egg Group,Medium Fast,70,0,0,0,0,1,3,No Preevolution,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5
42,Golbat,Poison,Flying,Inner Focus,Infiltrator,None,1,75,80,70,65,75,90,455,55.0,1.6,0.5,0,Bat Pokémon,90,15,Flying,No Egg Group,Medium Fast,70,0,0,0,0,2,3,Zubat,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5
43,Oddish,Grass,Poison,Chlorophyll,Run Away,None,1,45,50,55,75,65,30,320,5.4,0.5,0.5,0,Weed Pokémon,255,20,Grass,No Egg Group,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
44,Gloom,Grass,Poison,Chlorophyll,Stench,None,1,60,65,70,85,75,40,395,8.6,0.8,0.5,0,Weed Pokémon,120,20,Grass,No Egg Group,Medium Slow,70,0,0,0,0,2,3,Oddish,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
45,Vileplume,Grass,Poison,Chlorophyll,Effect Spore,None,1,75,80,85,110,90,50,490,18.6,1.2,0.5,0,Flower Pokémon,45,20,Grass,No Egg Group,Medium Slow,70,0,0,0,0,3,3,Gloom,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
46,Paras,Bug,Grass,Effect Spore,Dry Skin,Damp,1,35,70,55,45,55,25,285,5.4,0.3,0.5,0,Mushroom Pokémon,190,20,Bug,Grass,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0
47,Parasect,Bug,Grass,Effect Spore,Dry Skin,Damp,1,60,95,80,60,80,30,405,29.5,1.0,0.5,0,Mushroom Pokémon,75,20,Bug,Grass,Medium Fast,70,0,0,0,0,2,2,Paras,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0
48,Venonat,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,1,60,55,50,40,55,45,305,30.0,1.0,0.5,0,Insect Pokémon,190,20,Bug,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
49,Venomoth,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,1,70,65,60,90,75,90,450,12.5,1.5,0.5,0,Poison Moth Pokémon,75,20,Bug,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Venonat,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
50,Diglett,Ground,Ground,Sand Veil,Arena Trap,Sand Force,1,10,55,25,35,45,95,265,0.8,0.2,0.5,0,Mole Pokémon,255,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
50,Alolan Diglett,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,7,10,55,30,35,45,90,265,0.8,0.2,0.5,0,Mole Pokémon,255,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,0.5,2.0,0.5,0.0,2.0,0.25,0.5,1.0,0.5,2.0,2.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5
51,Dugtrio,Ground,Ground,Sand Veil,Arena Trap,Sand Force,1,35,100,50,50,70,120,425,33.3,0.7,0.5,0,Mole Pokémon,50,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Diglett,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
51,Alolan Dugtrio,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,7,35,100,60,50,70,110,425,33.3,0.7,0.5,0,Mole Pokémon,50,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Alolan Diglett,0.5,2.0,0.5,0.0,2.0,0.25,0.5,1.0,0.5,2.0,2.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5
52,Meowth,Normal,Normal,Pickup,None,None,1,40,45,35,40,40,90,290,4.2,0.4,0.5,0,Scratch Cat Pokémon,255,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,Alolan Meowth,Dark,Dark,Rattled,None,None,7,40,35,35,50,40,90,290,4.2,0.4,0.5,0,Scratch Cat Pokémon,255,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
52,Galarian Meowth,Steel,Steel,Pickup,None,None,8,50,65,55,40,40,40,290,4.2,0.4,0.5,0,Scratch Cat Pokémon,255,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,0.5,2.0,0.5,0.0,2.0,0.5,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5
53,Persian,Normal,Normal,Limber,Technician,Unnerve,1,65,70,60,65,65,115,440,32.0,1.0,0.5,0,Classy Cat Pokémon,90,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Meowth,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,Alolan Persian,Dark,Dark,Fur Coat,Technician,Rattled,7,65,60,60,75,65,115,440,32.0,1.0,0.5,0,Classy Cat Pokémon,90,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Alolan Meowth,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
54,Psyduck,Water,Water,Damp,Cloud Nine,Swift Swim,1,50,52,48,65,50,55,320,19.6,0.8,0.5,0,Duck Pokémon,190,20,Water 1,Field,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
55,Golduck,Water,Water,Damp,Cloud Nine,Swift Swim,1,80,82,78,95,80,85,500,76.6,1.7,0.5,0,Duck Pokémon,75,20,Water 1,Field,Medium Fast,70,0,0,0,0,2,2,Psyduck,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
56,Mankey,Fighting,Fighting,Vital Spirit,Anger Point,Defiant,1,40,80,35,35,45,70,305,28.0,0.5,0.5,0,Pig Monkey Pokémon,190,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
57,Primeape,Fighting,Fighting,Vital Spirit,Anger Point,Defiant,1,65,105,60,60,70,95,455,32.0,1.0,0.5,0,Pig Monkey Pokémon,75,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,3,Mankey,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
58,Growlithe,Fire,Fire,Justified,None,None,1,60,75,45,65,50,55,350,19.0,0.7,0.75,0,Puppy Pokémon,190,20,Field,No Egg Group,Slow,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
